y,ds
434.33,2016-01-01
433.44,2016-01-02
430.01,2016-01-03
433.09,2016-01-04
431.96,2016-01-05
429.11,2016-01-06
458.05,2016-01-07
453.23,2016-01-08
447.61,2016-01-09
447.99,2016-01-10
448.43,2016-01-11
435.69,2016-01-12
432.37,2016-01-13
430.31,2016-01-14
364.33,2016-01-15
387.54,2016-01-16
382.3,2016-01-17
387.17,2016-01-18
380.15,2016-01-19
420.23,2016-01-20
410.26,2016-01-21
382.49,2016-01-22
387.49,2016-01-23
402.97,2016-01-24
391.73,2016-01-25
392.15,2016-01-26
394.97,2016-01-27
380.29,2016-01-28
379.47,2016-01-29
378.26,2016-01-30
368.77,2016-01-31
373.06,2016-02-01
374.45,2016-02-02
369.95,2016-02-03
389.59,2016-02-04
386.55,2016-02-05
376.52,2016-02-06
376.62,2016-02-07
373.45,2016-02-08
376.03,2016-02-09
381.65,2016-02-10
379.65,2016-02-11
384.26,2016-02-12
391.86,2016-02-13
407.23,2016-02-14
400.18,2016-02-15
407.49,2016-02-16
416.32,2016-02-17
422.37,2016-02-18
420.79,2016-02-19
437.16,2016-02-20
438.8,2016-02-21
437.75,2016-02-22
420.74,2016-02-23
424.95,2016-02-24
424.54,2016-02-25
432.15,2016-02-26
432.52,2016-02-27
433.5,2016-02-28
437.7,2016-02-29
435.12,2016-03-01
423.99,2016-03-02
421.65,2016-03-03
410.94,2016-03-04
400.57,2016-03-05
407.71,2016-03-06
414.32,2016-03-07
413.97,2016-03-08
414.86,2016-03-09
417.13,2016-03-10
421.69,2016-03-11
411.62,2016-03-12
414.07,2016-03-13
416.44,2016-03-14
416.83,2016-03-15
417.01,2016-03-16
420.62,2016-03-17
409.55,2016-03-18
410.44,2016-03-19
413.76,2016-03-20
413.31,2016-03-21
418.09,2016-03-22
418.04,2016-03-23
416.39,2016-03-24
417.18,2016-03-25
417.95,2016-03-26
426.77,2016-03-27
424.23,2016-03-28
416.52,2016-03-29
414.82,2016-03-30
416.73,2016-03-31
417.96,2016-04-01
420.87,2016-04-02
420.9,2016-04-03
421.44,2016-04-04
424.03,2016-04-05
423.41,2016-04-06
422.74,2016-04-07
420.35,2016-04-08
419.41,2016-04-09
421.56,2016-04-10
422.48,2016-04-11
425.19,2016-04-12
423.73,2016-04-13
424.28,2016-04-14
429.71,2016-04-15
430.57,2016-04-16
427.4,2016-04-17
428.59,2016-04-18
435.51,2016-04-19
441.39,2016-04-20
449.42,2016-04-21
445.74,2016-04-22
450.28,2016-04-23
458.55,2016-04-24
461.43,2016-04-25
466.09,2016-04-26
444.69,2016-04-27
449.01,2016-04-28
455.1,2016-04-29
448.32,2016-04-30
451.88,2016-05-01
444.67,2016-05-02
450.3,2016-05-03
446.72,2016-05-04
447.98,2016-05-05
459.6,2016-05-06
458.54,2016-05-07
458.55,2016-05-08
460.48,2016-05-09
450.89,2016-05-10
452.73,2016-05-11
454.77,2016-05-12
455.67,2016-05-13
455.67,2016-05-14
457.57,2016-05-15
454.16,2016-05-16
453.78,2016-05-17
454.62,2016-05-18
438.71,2016-05-19
442.68,2016-05-20
443.19,2016-05-21
439.32,2016-05-22
444.15,2016-05-23
445.98,2016-05-24
449.6,2016-05-25
453.38,2016-05-26
473.46,2016-05-27
530.04,2016-05-28
526.23,2016-05-29
533.86,2016-05-30
531.39,2016-05-31
536.92,2016-06-01
537.97,2016-06-02
569.19,2016-06-03
572.73,2016-06-04
574.98,2016-06-05
585.54,2016-06-06
576.6,2016-06-07
581.65,2016-06-08
574.63,2016-06-09
577.47,2016-06-10
606.73,2016-06-11
672.78,2016-06-12
